muckrack_slug	media_name	media_handle	media_website
	Rush Limbaugh Show	rushlimbaugh	rushlimbaugh.com
	Fox News	FoxNews	foxnews.com,insider.foxnews.com,video.foxnews.com,nation.foxnews.com
	Glenn Beck Program	glennbeck	glennbeck.com
	MSNBC	MSNBC	msnbc.com
	Sean Hannity Show	seanhannity	seanhannity.com
	CNN	CNN	cnn.com,edition.cnn.com,money.cnn.com,go.cnn.com,amp.cnn.com
	NBC News	NBC	nbc.com
	Daily Show	TheDailyShow	cc.com
	ABC News	ABC	abcnews.go.com,abc.es
	CBS News	CBS	cbsnews.com
huffpo	Huffington Post	HuffingtonPost	huffingtonpost.com,elections.huffingtonpost.com,shows.huffingtonpost.com
nyt	New York Times	nytimes	nytimes.com,mobile.nytimes.com,nytlive.nytimes.com
	Al Jazeera America	AJEnglish	aljazeera.com,live.aljazeera.com,interactive.aljazeera.com
	Colbert Report	StephenAtHome	cc.com
	Yahoo News	YahooNews	yahoo.com,finance.yahoo.com,gma.yahoo.com
washpost	Washington Post	washingtonpost	washingtonpost.com
usatoday	USA TODAY	USATODAY	usatoday.com,elections16.usatoday.com,ftw.usatoday.com
	PBS	PBS	pbs.com
newyorker	New Yorker	NewYorker	newyorker.com
wsj	Wall Street Journal	WSJ	wsj.com,blogs.wsj.com,graphics.wsj.com,online.wsj.com
	Drudge Report	DRUDGE_REPORT	drudgereport.com
	NPR	NPR	npr.org
bloomberg	Bloomberg	business	bloomberg.com
buzzfeed	BuzzFeed	BuzzFeed	buzzfeed.com
bbc	BBC	BBCWorld	bbc.com,bbc.co.uk
	Mother Jones	MotherJones	motherjones.com,m.motherjones.com
politico	Politico	politico	politico.com
	Ed Schultz Show	edshow	wegoted.com
breitbart	Breitbart	BreitbartNews	breitbart.com
guardian	Guardian	guardian	theguardian.com
	TheBlaze	theblaze	theblaze.com
	Daily Kos	dailykos	dailykos.com,m.dailykos.com,elections.dailykos.com
slate	Slate	Slate	slate.com
economist	Economist	TheEconomist	economist.com,learnmore.economist.com
	ThinkProgress	thinkprogress	thinkprogress.org
vox	Vox		vox.com
nydn	New York Daily News		nydailynews.com,m.nydailynews.com
dailymail	Daily Mail		dailymail.co.uk
nypost	New York Post		nypost.com
weeklystandard	Weekly Standard		weeklystandard.com
nationalreview	National Review		nationalreview.com
washtimes	Washington Times		washingtontimes.com
realclearpolitics	RealClearPolitics		realclearpolitics.com
salon	Salon		salon.com
dallasnews	Dallas Morning News		dallasnews.com
azrepublic	Arizona Republic		azcentral.com
ocregister	Orange County Register		ocregister.com
oklahoman	Oklahoman		newsok.com
lvreview	Las Vegas Review-Journal		reviewjournal.com
bostonherald	Boston Herald		bostonherald.com
ftunion	Florida Times-Union		jacksonville.com
cincinnati	Cincinnati Enquirer		cincinnati.com
startelegram	Star-Telegram		star-telegram.com
tulsaworld	Tulsa World		tulsaworld.com
tennessean	Tennessean		tennessean.com
jpost	Jerusalem Post		jpost.com
thehill	The Hill		thehill.com